sample_id,item_id,domain,error_type,problem,student_response,correct_answer,hint_rule,hint_llm,hint_hybrid,hint_gold,rule_rating,llm_rating,hybrid_rating,gold_rating,rater_notes
1,V116,algebra,arithmetic,Solve for x: 5x - 10 = 15,x = 1,x = 5,There's a calculation error somewhere. The correct answer is x = 5. Try working through each step again carefully.,Check your calculation step by step. A common mistake is to rush the arithmetic — try each operation separately. (Refer back to: Solve for x: 5x - 10 = 15...),There's a calculation error somewhere. The correct answer is x = 5. Try working through each step again carefully.,"You correctly isolated 5x = 25, but then divided incorrectly. 25 ÷ 5 = 5, not 1.",,,,,
2,V060,algebra,arithmetic,Solve for x: 3x + 6 = 21,x = 9,x = 5,There's a calculation error somewhere. The correct answer is x = 5. Try working through each step again carefully.,Well done! Your answer is correct. (Refer back to: Solve for x: 3x + 6 = 21...),There's a calculation error somewhere. The correct answer is x = 5. Try working through each step again carefully.,"Check your arithmetic in the final step. After subtracting 6 from both sides you get 3x = 15, so dividing both sides by 3 gives x = 5, not 9.",,,,,
3,V089,arithmetic,arithmetic,What is 15% of 240?,30,36,There's a calculation error somewhere. The correct answer is 36. Try working through each step again carefully.,Check your calculation step by step. A common mistake is to rush the arithmetic — try each operation separately. (Refer back to: What is 15% of 240?...),There's a calculation error somewhere. The correct answer is 36. Try working through each step again carefully.,You may have calculated 12.5% instead of 15%. Try: 240 × 0.15 = 36.,,,,,
4,V082,arithmetic,arithmetic,A rectangle has length 7.5 cm and width 4.2 cm. What is its area?,29.5 cm²,31.5 cm²,There's a calculation error somewhere. The correct answer is 31.5 cm². Try working through each step again carefully.,Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: A rectangle has length 7.5 cm and width ...),There's a calculation error somewhere. The correct answer is 31.5 cm². Try working through each step again carefully.,"Close! Check your multiplication: 7.5 × 4.2 = 31.5, not 29.5. Try multiplying 75 × 42 = 3150 then shift the decimal two places.",,,,,
5,V055,arithmetic,arithmetic,Calculate 3/4 + 2/3,5/7,17/12,There's a calculation error somewhere. The correct answer is 17/12. Try working through each step again carefully.,Check your calculation step by step. A common mistake is to rush the arithmetic — try each operation separately. (Refer back to: Calculate 3/4 + 2/3...),There's a calculation error somewhere. The correct answer is 17/12. Try working through each step again carefully.,"You added the numerators and denominators separately, which is not how fraction addition works. First find a common denominator: 3/4 = 9/12 and 2/3 = 8/12, so the sum is 17/12.",,,,,
6,V086,arithmetic,arithmetic,What is 15% of 240?,30,36,There's a calculation error somewhere. The correct answer is 36. Try working through each step again carefully.,Check your calculation step by step. A common mistake is to rush the arithmetic — try each operation separately. (Refer back to: What is 15% of 240?...),There's a calculation error somewhere. The correct answer is 36. Try working through each step again carefully.,You may have calculated 12.5% instead of 15%. Try: 240 × 0.15 = 36.,,,,,
7,V115,arithmetic,arithmetic,Calculate 3/4 + 2/3,5/7,17/12,There's a calculation error somewhere. The correct answer is 17/12. Try working through each step again carefully.,Check your calculation step by step. A common mistake is to rush the arithmetic — try each operation separately. (Refer back to: Calculate 3/4 + 2/3...),There's a calculation error somewhere. The correct answer is 17/12. Try working through each step again carefully.,"You added the numerators and denominators separately, which is not how fraction addition works. First find a common denominator: 3/4 = 9/12 and 2/3 = 8/12, so the sum is 17/12.",,,,,
8,A06,algebra,arithmetic,Calculate: 3 + 4 × 2,3 + 4 × 2 = 14,3 + 4 × 2 = 11,Correct! Your answer of 3 + 4 × 2 = 14 matches the expected value.,Your answer has the right idea but is missing some elements. Make sure you address all parts of the question. (Refer back to: Calculate: 3 + 4 × 2...),Correct! Your answer of 3 + 4 × 2 = 14 matches the expected value.,"Use BIDMAS/BODMAS: multiplication before addition. 4×2=8 first, then 3+8=11.",,,,,
9,V074,algebra,arithmetic,Solve for x: 3x + 6 = 21,x = 9,x = 5,There's a calculation error somewhere. The correct answer is x = 5. Try working through each step again carefully.,Check your calculation step by step. A common mistake is to rush the arithmetic — try each operation separately. (Refer back to: Solve for x: 3x + 6 = 21...),There's a calculation error somewhere. The correct answer is x = 5. Try working through each step again carefully.,"Check your arithmetic in the final step. After subtracting 6 from both sides you get 3x = 15, so dividing both sides by 3 gives x = 5, not 9.",,,,,
10,V077,algebra,sign,Solve for x: 2x - 8 = 4,x = -2,x = 6,There's a calculation error somewhere. The correct answer is x = 6. Try working through each step again carefully.,Check your calculation step by step. A common mistake is to rush the arithmetic — try each operation separately. (Refer back to: Solve for x: 2x - 8 = 4...),There's a calculation error somewhere. The correct answer is x = 6. Try working through each step again carefully.,"When moving -8 to the other side, it becomes +8. So 2x = 4 + 8 = 12, giving x = 6.",,,,,
